DV;Bloc;N;Econ_β_full;Econ_p_full;Esp_β;Esp_p;Singular_full;Econ_β_no_esp;Econ_p_no_esp;Singular_no_esp;Media_e0;Media_e1;Media_CF;Econ_p_BH_full;Econ_p_BH_no_esp;Esp_p_BH
impostos_muito_altos;H7-Ideologia;183;-1.0085;;0.6861;;True;-1.1208;0.0583;False;;;;;0.2989;
déficit_federal_grande;H7-Ideologia;182;-1.4613;0.0231;0.7083;0.0;False;-1.4855;0.0194;False;1.521;1.118;1.503;0.3696;0.2989;0.0
gasto_ajuda_externa;H4-Antiestrangeiro;183;-1.4416;0.0185;0.2461;0.0336;False;-1.4825;0.0141;False;0.861;0.412;0.901;0.3696;0.2989;0.0489
temos_imigrantes_demais;H4-Antiestrangeiro;183;-0.5151;0.473;0.0473;0.7623;False;-0.5282;0.4612;False;0.241;0.235;0.363;0.7521;0.7634;0.7785
há_deduções_demais;H3-Antimercado;184;0.6427;0.2464;0.2835;0.0151;False;0.5416;0.3225;False;1.096;1.294;1.038;0.6611;0.7036;0.0259
educação_qualificação_profissional;H7-Ideologia;183;0.7295;0.2485;0.0964;0.4303;False;0.6968;0.2677;False;1.482;1.706;1.488;0.6611;0.6119;0.459
seguridade_social_previdência;H7-Ideologia;184;-1.0239;0.0864;0.5231;0.0;False;-1.0593;0.0685;False;0.832;0.647;0.942;0.4157;0.2989;0.0
mulheres_minorias_têm;H3-Antimercado;183;-0.4469;0.5661;0.4645;0.0021;False;-0.543;0.4799;False;0.349;0.176;0.272;0.7548;0.7678;0.0044
pessoas_não_dão;H5-Antitrabalho;184;-0.2765;0.6388;0.2882;0.0177;False;-0.3462;0.5528;False;0.677;0.588;0.714;0.8211;0.791;0.0293
governo_regulamenta_muito;H3-Antimercado;184;-1.0665;0.0866;0.9937;0.0;False;-1.0741;0.056;False;1.192;0.941;1.213;0.4157;0.2989;0.0
pessoas_não_poupam;H6-Pessimista;184;-0.5063;0.3781;0.2139;0.0649;False;-0.5512;0.3417;False;1.006;0.941;1.101;0.7521;0.7131;0.089
empresas_lucram_demais;H3-Antimercado;183;-0.4223;0.5171;-0.788;0.0;False;-0.073;0.9034;False;0.512;0.706;0.884;0.7521;0.96;0.0
altos_executivos_ganham;H3-Antimercado;183;-0.6228;0.2828;-0.634;0.0;False;-0.3373;0.5343;False;0.705;0.765;0.992;0.6787;0.791;0.0
produtividade_está_aumentando;H6-Pessimista;183;1.7222;0.0101;0.0093;0.9374;False;1.7215;0.0101;False;1.114;1.765;1.238;0.3696;0.2989;0.9374
