DV;Bloc;E_Y_econ1;E_Y_econ0;delta_Y;AME_cat0;AME_cat1;AME_cat2
impostos_altos;H3-Antimercado;1.3436;1.4066;-0.063;0.0192;0.0245;-0.0438
déficit_federal_grande;H7-Ideologia;1.0162;1.4762;-0.4599;0.1686;0.1227;-0.2913
gasto_ajuda_externa;H4-Antiestrangeiro;0.639;0.7748;-0.1358;0.0854;-0.0349;-0.0504
temos_imigrantes_demais;H4-Antiestrangeiro;0.2453;0.1863;0.0589;-0.0486;0.0383;0.0103
deduções_demais_empresas;H3-Antimercado;1.2796;1.017;0.2626;-0.1119;-0.0388;0.1507
educação_qualificação_profissional;H5-Antitrabalho;1.7083;1.4444;0.2639;-0.0488;-0.1663;0.2151
seguridade_social_previdência;H7-Ideologia;0.6129;0.7748;-0.1619;0.1134;-0.065;-0.0484
mulheres_minorias_têm;H7-Ideologia;0.3252;0.2941;0.0311;-0.0242;0.0172;0.007
pessoas_dão_valor;H3-Antimercado;0.7112;0.6497;0.0616;-0.0374;0.0132;0.0242
governo_regulamenta_negócios;H3-Antimercado;1.0846;1.1078;-0.0231;0.0101;0.0028;-0.013
pessoas_poupam_bastante;H3-Antimercado;0.8808;0.9797;-0.0989;0.0533;-0.0077;-0.0456
empresas_lucram_demais;H3-Antimercado;0.5508;0.5337;0.0171;-0.011;0.0048;0.0062
altos_executivos_ganham;H3-Antimercado;0.738;0.7255;0.0125;-0.0073;0.0021;0.0052
produtividade_aumentando_devagar;H6-Pessimista;1.7216;1.1204;0.6011;-0.2006;-0.1998;0.4005
tecnologia_causa_demissões;H5-Antitrabalho;0.5876;0.3931;0.1944;-0.159;0.1235;0.0355
empresas_estão_enviando;H5-Antitrabalho;0.5949;0.2519;0.343;-0.2947;0.2463;0.0483
empresas_estão_reduzindo;H5-Antitrabalho;0.9742;0.6205;0.3537;-0.2224;0.091;0.1313
empresas_investem_suficiente;H5-Antitrabalho;1.1645;1.0711;0.0934;-0.0415;-0.0105;0.052
corte_impostos;H3-Antimercado;1.4944;1.6161;-0.1217;0.0514;0.0188;-0.0703
mulheres_força_trabalho;H3-Antimercado;1.6007;1.4607;0.14;-0.0274;-0.0852;0.1126
