DV;B_valid;beta_mediana;IC95_lo;IC95_hi;frac_neg;frac_pos;p_boot;method
impostos_altos;999;-0.2201;-1.5172;0.8254;0.6537;0.3463;0.6927;BC0_percentile
déficit_federal_grande;999;-1.6294;-3.3913;0.0932;0.977;0.023;0.046;BC0_percentile
gasto_ajuda_externa;999;-0.474;-1.8237;0.6261;0.7778;0.2222;0.4444;BC0_percentile
temos_imigrantes_demais;999;0.3858;-14.6746;1.8914;0.3183;0.6817;0.6366;BC0_percentile
deduções_demais_empresas;999;0.7222;-0.5185;1.6395;0.0791;0.9209;0.1582;BC0_percentile
educação_qualificação_profissional;999;1.022;-0.1684;2.7459;0.042;0.958;0.0841;BC0_percentile
seguridade_social_previdência;999;-0.664;-1.8379;0.7388;0.8348;0.1652;0.3303;BC0_percentile
mulheres_minorias_têm;999;0.1314;-14.1145;1.9748;0.4474;0.5526;0.8949;BC0_percentile
pessoas_dão_valor;999;0.1983;-1.0731;1.3222;0.3764;0.6236;0.7528;BC0_percentile
governo_regulamenta_negócios;999;-0.0943;-1.5473;1.2021;0.5516;0.4484;0.8969;BC0_percentile
pessoas_poupam_bastante;999;-0.2925;-1.6104;1.0222;0.6877;0.3123;0.6246;BC0_percentile
empresas_lucram_demais;999;0.0599;-1.5643;1.5425;0.4625;0.5375;0.9249;BC0_percentile
altos_executivos_ganham;999;0.0381;-1.2704;1.2055;0.4745;0.5255;0.9489;BC0_percentile
produtividade_aumentando_devagar;999;2.0645;0.5473;16.8547;0.0;1.0;0.0;BC0_percentile
tecnologia_causa_demissões;999;0.6873;-0.4871;1.7451;0.1271;0.8729;0.2543;BC0_percentile
empresas_estão_enviando;999;1.4183;-0.4767;2.5963;0.033;0.967;0.0661;BC0_percentile
empresas_estão_reduzindo;999;1.0934;-0.2462;2.4902;0.0601;0.9399;0.1201;BC0_percentile
empresas_investem_suficiente;999;0.2704;-1.175;1.5674;0.3273;0.6727;0.6547;BC0_percentile
corte_impostos;999;-0.5033;-1.7589;1.207;0.7357;0.2643;0.5285;BC0_percentile
mulheres_força_trabalho;999;0.834;-1.281;14.6025;0.1932;0.8068;0.3864;BC0_percentile
aumento_uso_tecnologia;998;1.7061;0.6898;3.7277;0.0;1.0;0.0;BC0_percentile
acordos_comerciais_outros;999;-1.1746;-4.9383;1.5355;0.6286;0.3714;0.7427;BC0_percentile
redução_recente_postos;999;-1.4637;-16.3706;-0.0631;0.989;0.011;0.022;BC0_percentile
algumas_pessoas_dizem;999;-0.399;-1.6261;0.9364;0.7467;0.2533;0.5065;BC0_percentile
acha_acordos_comerciais;999;0.2007;-1.4062;15.7316;0.4184;0.5816;0.8368;BC0_percentile
quem_considera_maior;999;0.3513;-0.6851;1.6032;0.2693;0.7307;0.5385;BC0_percentile
acha_preços_combustíveis;999;-0.0804;-1.8296;2.178;0.5415;0.4585;0.9169;BC0_percentile
acha_presidente_pode;999;0.6181;-0.5872;1.961;0.1321;0.8679;0.2643;BC0_percentile
acha_novos_postos;999;-0.4082;-2.0019;0.8556;0.7347;0.2653;0.5305;BC0_percentile
desigualdade_entre_ricos;999;-0.2355;-1.4373;1.3839;0.6246;0.3754;0.7508;BC0_percentile
últimos_20_anos;999;1.0288;-0.5835;2.6137;0.0761;0.9239;0.1522;BC0_percentile
pensando_apenas_salários;999;0.2126;-1.7819;1.6671;0.3984;0.6016;0.7968;BC0_percentile
algumas_pessoas_dizem_2;999;-0.2144;-1.7386;1.1867;0.6186;0.3814;0.7628;BC0_percentile
próximos_cinco_anos;999;-0.4576;-1.6376;1.0103;0.7528;0.2472;0.4945;BC0_percentile
espera_geração_seus;999;-0.5577;-2.0855;0.8731;0.7898;0.2102;0.4204;BC0_percentile
filhos_menos_30;999;-0.194;-1.6849;1.189;0.6026;0.3974;0.7948;BC0_percentile
reforma_previdência_necessária;999;-1.435;-2.8979;-0.1291;0.985;0.015;0.03;BC0_percentile
reforma_trabalhista_necessária;999;-1.262;-2.6412;0.3745;0.951;0.049;0.0981;BC0_percentile
reforma_tributária_necessária;999;0.4134;-2.5409;15.1115;0.3854;0.6146;0.7708;BC0_percentile
privatização_estatais_benéfica;999;-0.3354;-1.8877;1.357;0.6737;0.3263;0.6527;BC0_percentile
produtos_importados_benéficos;999;1.4815;-0.0638;3.1703;0.026;0.974;0.0521;BC0_percentile
corrupção_principal_causa;999;-0.6324;-1.6385;0.5777;0.8739;0.1261;0.2523;BC0_percentile
taxa_juros_selic;999;1.6223;0.1222;16.8126;0.007;0.993;0.014;BC0_percentile
governo_atual_sabe;999;1.2566;-0.1546;2.4855;0.02;0.98;0.04;BC0_percentile
governo_deve_intervir;999;-0.1411;-1.6714;1.0508;0.5806;0.4194;0.8388;BC0_percentile
entrada_estrangeiros_mercado;999;0.8476;-0.336;2.2725;0.0811;0.9189;0.1622;BC0_percentile
indústria_nacional_deve;999;-0.2885;-1.792;0.992;0.6667;0.3333;0.6667;BC0_percentile
brasil_chance_virar;999;-0.9026;-2.0171;0.6912;0.9099;0.0901;0.1802;BC0_percentile
