DV;Bloc;N_cats;brant_chi2;brant_df;brant_p;po_ok
impostos_altos;H3-Antimercado;3;3.595;14;0.9975;True
déficit_federal_grande;H7-Ideologia;3;4.753;14;0.989;True
gasto_ajuda_externa;H4-Antiestrangeiro;3;4.031;14;0.9953;True
temos_imigrantes_demais;H4-Antiestrangeiro;3;1.421;14;1.0;True
deduções_demais_empresas;H3-Antimercado;3;1.846;14;0.9999;True
educação_qualificação_profissional;H5-Antitrabalho;3;2.477;14;0.9997;True
seguridade_social_previdência;H7-Ideologia;3;4.361;14;0.9929;True
mulheres_minorias_têm;H7-Ideologia;3;5.232;14;0.9823;True
pessoas_dão_valor;H3-Antimercado;3;4.342;14;0.993;True
governo_regulamenta_negócios;H3-Antimercado;3;2.501;14;0.9997;True
pessoas_poupam_bastante;H3-Antimercado;3;3.409;14;0.9981;True
empresas_lucram_demais;H3-Antimercado;3;5.42;14;0.9791;True
altos_executivos_ganham;H3-Antimercado;3;6.461;14;0.9535;True
produtividade_aumentando_devagar;H6-Pessimista;3;1.879;14;0.9999;True
tecnologia_causa_demissões;H5-Antitrabalho;3;6.385;14;0.9558;True
empresas_estão_enviando;H5-Antitrabalho;3;3.286;14;0.9984;True
empresas_estão_reduzindo;H5-Antitrabalho;3;2.583;14;0.9996;True
empresas_investem_suficiente;H5-Antitrabalho;3;4.395;14;0.9926;True
corte_impostos;H3-Antimercado;3;1.576;14;1.0;True
mulheres_força_trabalho;H3-Antimercado;3;6.125;14;0.9632;True
aumento_uso_tecnologia;H5-Antitrabalho;3;0.505;14;1.0;True
acordos_comerciais_outros;H4-Antiestrangeiro;3;0.02;14;1.0;True
redução_recente_postos;H5-Antitrabalho;3;3.864;14;0.9962;True
algumas_pessoas_dizem;H6-Pessimista;3;3.426;14;0.998;True
acha_acordos_comerciais;H4-Antiestrangeiro;3;2.851;14;0.9993;True
quem_considera_maior;Percepção-Específica;3;15.897;14;0.3197;True
acha_preços_combustíveis;Percepção-Específica;3;4.672;14;0.9899;True
acha_presidente_pode;Percepção-Específica;3;3.477;14;0.9979;True
acha_novos_postos;H5-Antitrabalho;3;3.956;14;0.9957;True
desigualdade_entre_ricos;H6-Pessimista;3;1.543;14;1.0;True
últimos_20_anos;H6-Pessimista;3;2.453;14;0.9997;True
pensando_apenas_salários;H6-Pessimista;3;0.655;14;1.0;True
algumas_pessoas_dizem_2;H6-Pessimista;3;1.995;14;0.9999;True
próximos_cinco_anos;H6-Pessimista;3;2.321;14;0.9998;True
espera_geração_seus;H6-Pessimista;3;5.34;14;0.9805;True
filhos_menos_30;H6-Pessimista;3;4.207;14;0.9941;True
reforma_previdência_necessária;H7-Ideologia;3;2.311;14;0.9998;True
reforma_trabalhista_necessária;H7-Ideologia;3;5.802;14;0.9712;True
reforma_tributária_necessária;H7-Ideologia;3;2.229;14;0.9998;True
privatização_estatais_benéfica;H7-Ideologia;3;12.33;14;0.5798;True
produtos_importados_benéficos;H4-Antiestrangeiro;3;6.591;14;0.9493;True
corrupção_principal_causa;H7-Ideologia;3;2.598;14;0.9996;True
taxa_juros_selic;H7-Ideologia;3;5.402;14;0.9794;True
governo_atual_sabe;H7-Ideologia;3;7.924;14;0.8932;True
governo_deve_intervir;H7-Ideologia;3;3.859;14;0.9963;True
entrada_estrangeiros_mercado;H4-Antiestrangeiro;3;5.723;14;0.973;True
indústria_nacional_deve;H4-Antiestrangeiro;3;2.995;14;0.9991;True
brasil_chance_virar;H6-Pessimista;3;1.86;14;0.9999;True
lucros_empresariais_ocorrem;H7-Ideologia;3;2.918;14;0.9992;True
competição_entre_empresas;H5-Antitrabalho;3;2.313;14;0.9998;True
brasil_deveria_priorizar;H4-Antiestrangeiro;3;1.983;14;0.9999;True
automação_prejudica_mercado;H5-Antitrabalho;3;7.501;14;0.9137;True
brasil_deveria_adotar;H4-Antiestrangeiro;3;6.067;14;0.9648;True
