DV;Bloc;N;mcfadden_r2;nagelkerke_r2;aic;bic;lr_chi2;lr_df;lr_p;n_obs;singular;converged
impostos_altos;H3-Antimercado;145;0.1777;0.3351;241.96;268.75;48.413;7;0.0;145;False;True
déficit_federal_grande;H7-Ideologia;144;0.1822;0.3398;236.23;262.95;48.611;7;0.0;144;False;True
gasto_ajuda_externa;H4-Antiestrangeiro;145;0.0992;0.2142;292.11;318.9;30.178;7;0.0001;145;False;True
temos_imigrantes_demais;H4-Antiestrangeiro;145;0.0526;0.0825;161.77;188.56;7.981;7;0.3343;145;False;True
deduções_demais_empresas;H3-Antimercado;146;0.0279;0.066;324.31;351.17;8.778;7;0.269;146;False;True
educação_qualificação_profissional;H5-Antitrabalho;145;0.0428;0.0884;266.23;293.02;11.087;7;0.1349;145;False;True
seguridade_social_previdência;H7-Ideologia;146;0.1049;0.2147;271.04;297.89;29.645;7;0.0001;146;False;True
mulheres_minorias_têm;H7-Ideologia;145;0.1394;0.2328;188.39;215.18;27.604;7;0.0003;145;False;True
pessoas_dão_valor;H3-Antimercado;146;0.0974;0.2052;282.83;309.68;28.569;7;0.0002;146;False;True
governo_regulamenta_negócios;H3-Antimercado;146;0.3412;0.5916;227.74;254.59;108.621;7;0.0;146;False;True
pessoas_poupam_bastante;H3-Antimercado;146;0.0674;0.1489;299.61;326.46;20.352;7;0.0049;146;False;True
empresas_lucram_demais;H3-Antimercado;145;0.1719;0.3234;240.38;267.17;46.161;7;0.0;145;False;True
altos_executivos_ganham;H3-Antimercado;145;0.1841;0.3637;264.22;291.01;55.568;7;0.0;145;False;True
produtividade_aumentando_devagar;H6-Pessimista;146;0.1136;0.2454;296.57;323.43;35.686;7;0.0;146;False;True
tecnologia_causa_demissões;H5-Antitrabalho;145;0.0832;0.1551;228.09;254.88;19.054;7;0.008;145;False;True
empresas_estão_enviando;H5-Antitrabalho;146;0.0479;0.0826;197.39;224.24;9.018;7;0.2514;146;False;True
empresas_estão_reduzindo;H5-Antitrabalho;146;0.0778;0.1629;277.24;304.09;21.881;7;0.0027;146;False;True
empresas_investem_suficiente;H5-Antitrabalho;145;0.0401;0.0937;317.99;344.78;12.534;7;0.0843;145;False;True
corte_impostos;H3-Antimercado;146;0.1851;0.3124;197.02;223.87;40.654;7;0.0;146;False;True
mulheres_força_trabalho;H3-Antimercado;146;0.3009;0.4924;193.8;220.66;75.667;7;0.0;146;False;True
aumento_uso_tecnologia;H5-Antitrabalho;146;0.2276;0.2663;65.83;92.68;14.097;7;0.0495;146;True;True
acordos_comerciais_outros;H4-Antiestrangeiro;146;0.1545;0.1894;80.45;107.31;11.413;7;0.1216;146;False;True
redução_recente_postos;H5-Antitrabalho;145;0.0693;0.1337;240.37;267.16;16.565;7;0.0204;145;False;True
algumas_pessoas_dizem;H6-Pessimista;146;0.0416;0.0944;307.77;334.62;12.571;7;0.0833;146;False;True
acha_acordos_comerciais;H4-Antiestrangeiro;145;0.0358;0.0618;195.03;221.82;6.58;7;0.4738;145;False;True
quem_considera_maior;Percepção-Específica;146;0.0549;0.1274;319.27;346.12;17.508;7;0.0144;146;False;True
