DV;n_e0;n_e1;mwu_stat;mwu_p;ks_stat;ks_p;perm_p;mwu_p_bh;ks_p_bh;perm_p_bh
impostos_altos;166;17;1690.0;0.1325;0.1953;0.5313;0.3994;0.5355;1.0;1.0
déficit_federal_grande;165;17;1720.5;0.0808;0.2923;0.1148;0.2648;0.3893;1.0;1.0
gasto_ajuda_externa;166;17;1855.5;0.0219;0.2289;0.3368;0.1572;0.2317;1.0;1.0
temos_imigrantes_demais;166;17;1380.0;0.8353;0.0361;1.0;1.0;0.8854;1.0;1.0
deduções_demais_empresas;167;17;1224.5;0.3194;0.1279;0.9315;1.0;0.5355;1.0;1.0
educação_qualificação_profissional;166;17;1173.0;0.192;0.1456;0.8492;1.0;0.5355;1.0;1.0
seguridade_social_previdência;167;17;1615.5;0.3035;0.1029;0.9901;1.0;0.5355;1.0;1.0
mulheres_minorias_têm;166;17;1585.0;0.2869;0.1127;0.975;1.0;0.5355;1.0;1.0
pessoas_dão_valor;167;17;1487.0;0.7251;0.074;0.9999;1.0;0.8177;1.0;1.0
governo_regulamenta_negócios;167;17;1676.0;0.1906;0.1839;0.6062;1.0;0.5355;1.0;1.0
pessoas_poupam_bastante;167;17;1489.0;0.7185;0.0546;1.0;1.0;0.8177;1.0;1.0
empresas_lucram_demais;166;17;1247.0;0.3664;0.1088;0.9824;1.0;0.5548;1.0;1.0
altos_executivos_ganham;166;17;1279.0;0.4914;0.2179;0.3956;0.6346;0.6201;1.0;1.0
produtividade_aumentando_devagar;166;17;753.5;0.0007;0.4093;0.0076;0.1732;0.0371;0.4028;1.0
tecnologia_causa_demissões;166;17;1154.5;0.1512;0.2208;0.3802;0.16;0.5355;1.0;1.0
empresas_estão_enviando;167;17;1240.0;0.2773;0.1363;0.8966;1.0;0.5355;1.0;1.0
empresas_estão_reduzindo;167;17;1123.5;0.1205;0.155;0.7964;1.0;0.5322;1.0;1.0
empresas_investem_suficiente;166;17;1206.0;0.2929;0.1354;0.9001;1.0;0.5355;1.0;1.0
corte_impostos;167;17;1754.5;0.0306;0.261;0.2021;1.0;0.2317;1.0;1.0
mulheres_força_trabalho;167;17;983.5;0.0191;0.2917;0.1165;1.0;0.2317;1.0;1.0
aumento_uso_tecnologia;167;17;1326.0;0.2792;0.0659;1.0;1.0;0.5355;1.0;1.0
acordos_comerciais_outros;167;17;1398.5;0.8311;0.0528;1.0;1.0;0.8854;1.0;1.0
redução_recente_postos;166;17;1747.0;0.0657;0.2225;0.3706;1.0;0.3482;1.0;1.0
algumas_pessoas_dizem;167;17;1530.5;0.5666;0.0733;0.9999;1.0;0.6984;1.0;1.0
acha_acordos_comerciais;166;16;1202.5;0.3854;0.0979;0.996;1.0;0.5647;1.0;1.0
quem_considera_maior;165;17;1191.5;0.2784;0.118;0.9631;1.0;0.5355;1.0;1.0
acha_preços_combustíveis;167;17;1507.0;0.4683;0.0567;1.0;1.0;0.6054;1.0;1.0
acha_presidente_pode;164;16;1225.5;0.6265;0.0915;0.9985;1.0;0.7546;1.0;1.0
acha_novos_postos;164;17;1476.0;0.6523;0.0416;1.0;0.6544;0.7683;1.0;1.0
desigualdade_entre_ricos;166;17;1607.5;0.2893;0.124;0.9455;0.2526;0.5355;1.0;1.0
últimos_20_anos;165;17;1266.5;0.4429;0.1426;0.8661;1.0;0.6019;1.0;1.0
pensando_apenas_salários;164;17;1258.5;0.4116;0.1316;0.9171;1.0;0.5741;1.0;1.0
algumas_pessoas_dizem_2;166;17;1385.5;0.8919;0.0315;1.0;1.0;0.9269;1.0;1.0
próximos_cinco_anos;161;17;1421.0;0.7771;0.0438;1.0;1.0;0.858;1.0;1.0
espera_geração_seus;165;17;1579.5;0.3435;0.1305;0.9222;0.3506;0.5355;1.0;1.0
filhos_menos_30;123;15;1072.5;0.2433;0.135;0.9398;0.2358;0.5355;1.0;1.0
reforma_previdência_necessária;165;17;1758.0;0.048;0.2064;0.4619;0.1918;0.2827;1.0;1.0
reforma_trabalhista_necessária;165;17;1635.5;0.2015;0.1444;0.8572;0.2494;0.5355;1.0;1.0
reforma_tributária_necessária;165;17;1245.0;0.232;0.1109;0.9786;1.0;0.5355;1.0;1.0
privatização_estatais_benéfica;166;17;1578.5;0.3942;0.1814;0.622;1.0;0.5647;1.0;1.0
produtos_importados_benéficos;165;17;1023.5;0.0402;0.2774;0.1527;0.1712;0.2663;1.0;1.0
corrupção_principal_causa;165;17;1820.0;0.027;0.2271;0.3476;1.0;0.2317;1.0;1.0
taxa_juros_selic;164;17;955.5;0.0184;0.283;0.1381;0.6414;0.2317;1.0;1.0
governo_atual_sabe;165;17;991.5;0.0209;0.2378;0.2956;0.1278;0.2317;1.0;1.0
governo_deve_intervir;165;17;1413.0;0.9578;0.0581;1.0;1.0;0.9578;1.0;1.0
entrada_estrangeiros_mercado;165;17;1151.5;0.1777;0.1761;0.6569;0.2642;0.5355;1.0;1.0
indústria_nacional_deve;165;17;1594.5;0.32;0.0998;0.9929;1.0;0.5355;1.0;1.0
brasil_chance_virar;166;17;1668.5;0.1705;0.2013;0.4933;0.3842;0.5355;1.0;1.0
lucros_empresariais_ocorrem;165;17;1179.0;0.2498;0.1373;0.8922;1.0;0.5355;1.0;1.0
competição_entre_empresas;165;17;1301.0;0.465;0.0702;1.0;1.0;0.6054;1.0;1.0
brasil_deveria_priorizar;164;17;1574.0;0.342;0.0947;0.9963;1.0;0.5355;1.0;1.0
automação_prejudica_mercado;166;17;1569.0;0.3369;0.1187;0.9609;1.0;0.5355;1.0;1.0
brasil_deveria_adotar;165;17;1415.0;0.948;0.0788;0.9998;0.5278;0.9578;1.0;1.0
