DV;Bloc;N;Singular;model_type;beta_econ;se_econ;p_econ;beta_esp;se_esp;p_esp;OR;OR_CI_lo;OR_CI_hi;mcfadden;aic;bic;lr_p;brant_chi2;brant_p;po_ok;media_e0;media_e1;media_cf;delta_Y;p_econ_bonf;p_econ_holm;p_econ_bh;p_esp_bh;p_esp_holm;stars_econ;stars_econ_bh;stars_esp
impostos_altos;H3-Antimercado;145;True;firth_ridge;-0.233;0.5982;0.6969;1.1558;0.1992;0.0;0.792;0.245;2.558;0.1777;241.96;268.75;0.0;;;;1.4274809160305344;1.1428571428571428;;;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
déficit_federal_grande;H7-Ideologia;144;False;ordered_logit;-1.5987;0.6514;0.0141;1.0682;0.1983;0.0;0.202;0.056;0.725;0.1822;236.23;262.95;0.0;4.753;0.989;True;1.5;0.9285714285714286;1.3939016974547926;-0.4599;0.7473;0.7473;0.36393333333333333;0.0;0.0;*;;***
gasto_ajuda_externa;H4-Antiestrangeiro;145;False;ordered_logit;-0.4035;0.6315;0.5228;0.5566;0.1719;0.0012;0.668;0.194;2.303;0.0992;292.11;318.9;0.0001;4.031;0.9953;True;0.816793893129771;0.35714285714285715;0.5025953526295496;-0.1358;1.0;1.0;0.9139901960784313;0.002193103448275862;0.0324;;;**
temos_imigrantes_demais;H4-Antiestrangeiro;145;False;ordered_logit;0.3457;0.7694;0.6532;0.431;0.2504;0.0852;1.413;0.313;6.384;0.0526;161.77;188.56;0.3343;1.421;1.0;True;0.19083969465648856;0.21428571428571427;0.1824879392471427;0.0589;1.0;1.0;0.9139901960784313;0.11288999999999999;1.0;;;
deduções_demais_empresas;H3-Antimercado;146;False;ordered_logit;0.6827;0.552;0.2162;0.3906;0.1593;0.0142;1.979;0.671;5.839;0.0279;324.31;351.17;0.269;1.846;0.9999;True;1.0227272727272727;1.2142857142857142;0.9351495419222913;0.2626;1.0;1.0;0.7161625;0.02090555555555556;0.2556;;;*
educação_qualificação_profissional;H5-Antitrabalho;145;False;ordered_logit;0.9988;0.6639;0.1324;0.2333;0.1604;0.1458;2.715;0.739;9.975;0.0428;266.23;293.02;0.1349;2.477;0.9997;True;1.4427480916030535;1.7142857142857142;1.41609838308375;0.2639;1.0;1.0;0.5847666666666667;0.18398571428571428;1.0;;;
seguridade_social_previdência;H7-Ideologia;146;False;ordered_logit;-0.564;0.6119;0.3567;0.8082;0.1785;0.0;0.569;0.171;1.888;0.1049;271.04;297.89;0.0001;4.361;0.9929;True;0.7803030303030303;0.5714285714285714;0.7422266770491304;-0.1619;1.0;1.0;0.7877125;0.0;0.0;;;***
mulheres_minorias_têm;H7-Ideologia;145;False;ordered_logit;0.1532;0.7898;0.8462;0.9599;0.2563;0.0002;1.166;0.248;5.48;0.1394;188.39;215.18;0.0003;5.232;0.9823;True;0.3053435114503817;0.21428571428571427;0.21690065601123557;0.0311;1.0;1.0;0.9139901960784313;0.00048181818181818184;0.0068000000000000005;;;***
pessoas_dão_valor;H3-Antimercado;146;False;ordered_logit;0.179;0.5955;0.7637;0.7835;0.1795;0.0;1.196;0.372;3.843;0.0974;282.83;309.68;0.0002;4.342;0.993;True;0.6515151515151515;0.6428571428571429;0.5981539118934995;0.0616;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
governo_regulamenta_negócios;H3-Antimercado;146;False;ordered_logit;-0.0965;0.6363;0.8795;1.8359;0.2511;0.0;0.908;0.261;3.16;0.3412;227.74;254.59;0.0;2.501;0.9997;True;1.1136363636363635;0.9285714285714286;0.9521094701419418;-0.0231;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
